('http://www.cnblogs.com/TomDwan/', '[wolfshadow]')
('http://www.cnblogs.com/ice-image/', '[ice_image]')
('http://www.cnblogs.com/huaweiyun/', '[华为云开发者社区]')
('http://www.cnblogs.com/JulianHuang/', '[_小码甲]')
('http://www.cnblogs.com/tencent-cloud-native/', '[腾讯云原生]')
('http://www.cnblogs.com/root429/', '[java金融]')
('http://www.cnblogs.com/light0011/', '[码农小说家]')
('http://www.cnblogs.com/chiaki/', '[Chiakiiii]')
('http://www.cnblogs.com/technology-blog/', '[--lantao--]')
('http://www.cnblogs.com/zgrey/', '[錵開や落幕]')
('http://www.cnblogs.com/xiyuanMore/', '[溪源More]')
('http://www.cnblogs.com/pengdai/', '[pdai]')
('http://www.cnblogs.com/onlyblues/', '[onlyblues]')
('http://www.cnblogs.com/xueweihan/', '[削微寒]')
('http://www.cnblogs.com/charlieroro/', '[charlieroro]')
('http://www.cnblogs.com/vchar/', '[vchar_fred]')
('http://www.cnblogs.com/danvic712/', '[墨墨墨墨小宇]')
('http://www.cnblogs.com/flydean/', '[flydean]')
('http://www.cnblogs.com/cmt/', '[博客园团队]')
('http://www.cnblogs.com/pingguo-softwaretesting/', '[把苹果v咬哭]')
('http://www.cnblogs.com/ideryi/', '[ideryi]')
('http://www.cnblogs.com/zhujiqian/', '[朱季谦]')
('http://www.cnblogs.com/sanshengshui/', '[三升水]')
('http://www.cnblogs.com/xuliuzai/', '[东山絮柳仔]')
('http://www.cnblogs.com/cg-ww/', '[炒焖煎糖板栗]')
('http://www.cnblogs.com/liuxiaochong/', '[早起的小虫子]')
('http://www.cnblogs.com/mjios/', '[M了个J]')
('http://www.cnblogs.com/longronglang/', '[久曲健]')
('http://www.cnblogs.com/l199616j/', '[测试开发喵]')
('http://www.cnblogs.com/chengxuzhixin/', '[程序之心]')
('http://www.cnblogs.com/siguamatrix/', '[阿猫阿狗写文章]')
('http://www.cnblogs.com/huan89/', '[一只修仙的猿]')
('http://www.cnblogs.com/lizhuming/', '[李柱明]')
('http://www.cnblogs.com/powercto/', '[狼爷]')
('http://www.cnblogs.com/JoJo-bai/', '[JoJo_bai]')
('http://www.cnblogs.com/Tenshi/', '[HinanawiTenshi]')
('http://www.cnblogs.com/fitzlovecode/', '[虚伪渲染敷衍]')
('http://www.cnblogs.com/sheung/', '[肆玖爺]')
('http://www.cnblogs.com/failymao/', '[failymao]')
('http://www.cnblogs.com/lyh-kop/', '[咸鱼KOP]')
('http://www.cnblogs.com/foxhappy/', '[三十三重天]')
('http://www.cnblogs.com/sultans/', '[Sultans]')
('http://www.cnblogs.com/ilovejaney/', '[艾小仙]')
('http://www.cnblogs.com/irvingluo/', '[_蓑衣客]')
('http://www.cnblogs.com/luciochn/', '[Mr_ηobody]')
('http://www.cnblogs.com/xcj26/', '[Sam Xiao]')
('http://www.cnblogs.com/codelove/', '[雪雁]')
('http://www.cnblogs.com/tcjiaan/', '[东邪独孤]')
('http://www.cnblogs.com/qianyueric/', '[浅羽技术]')
('http://www.cnblogs.com/Yesi/', '[E-iceblue]')
('http://www.cnblogs.com/froml77/', '[FromL77]')
('http://www.cnblogs.com/itlz/', '[五分钟学大数据]')
('http://www.cnblogs.com/zhangshengdong/', '[东瑜]')
('http://www.cnblogs.com/roseAT/', '[粥里有勺糖]')
('http://www.cnblogs.com/jackson0714/', '[悟空聊架构]')
('http://www.cnblogs.com/Damaer/', '[第十六封]')
('http://www.cnblogs.com/hhhnicvscs/', '[码农译站]')
('http://www.cnblogs.com/huaweiyun/', '[华为云开发者社区]')
('http://www.cnblogs.com/crossoverJie/', '[crossoverJie]')
('http://www.cnblogs.com/tiger-wang/', '[老王Plus]')
('http://www.cnblogs.com/timedot/', '[timedot]')
